variable,PPL,Practice_Name,Enrollees
Patients,202105,CFVMC DIVISION OF DUKE OB/GYN,26
Patients,202105,CROSS CREEK PEDIATRICS,23
Patients,202105,CUMBERLAND COUNTY HEALTH DEPARTMENT,48
Patients,202105,"ERNESTO J.F. GRAHAM, MD",13
Patients,202105,FAYETTEVILLE CHILDREN'S CLINIC,11
Patients,202105,HEALTH PAVILION NORTH,21
Patients,202105,HOKE PRIMARY CARE,29
Patients,202105,HOPE MILLS FAMILY CARE,32
Patients,202105,HOPE MILLS URGENT CARE AND MEDICAL CLINIC,18
Patients,202105,JONES CENTER FOR WOMEN'S HEALTH,22
Patients,202105,KIDZCARE PEDIATRICS AT ALL AMERICAN,44
Patients,202105,KIDZCARE PEDIATRICS AT CAPE FEAR,49
Patients,202105,KIDZCARE PEDIATRICS AT HOPE MILLS,89
Patients,202105,KIDZCARE PEDIATRICS AT NORTHSIDE,90
Patients,202105,KIDZCARE PEDIATRICS AT SPRING LAKE,52
Patients,202105,KIDZCARE PEDIATRICS AT YADKIN,47
Patients,202105,LEGACY PEDIATRICS,24
Patients,202105,RAINBOW PEDIATRICS OF FAYETTEVILLE,123
Patients,202105,RAINBOW PEDIATRICS OF HOPE MILLS,41
Patients,202105,RAPHA PRIMARY CARE OF FAYETTEVILLE,65
Patients,202105,SOUTHEASTERN MEDICAL CLINIC-GRAY'S CREEK,21
Patients,202105,SOUTHERN REGIONAL AHEC,89
Patients,202105,STEDMAN MEDICAL CARE,26
Patients,202105,SUNSHINE PEDIATRICS,22
Patients,202105,WADE FAMILY MEDICAL CENTER - DOWNTOWN,19
Patients,202105,WESTSIDE MEDICAL CARE,30
Patients,202106,BIRTH AND WOMEN'S CARE,23
Patients,202106,CALVARY PEDIATRICS,51
Patients,202106,CAPE FEAR VALLEY PEDIATRICS,139
Patients,202106,CAPE FEAR VALLEY PRIMARY CARE - FAYETTEVILLE FAMILY,23
Patients,202106,CAROLINA PEDIATRIC GROUP,17
Patients,202106,CAROLINA URGENT AND FAMILY CARE,23
Patients,202106,CFVMC DIVISION OF DUKE OB/GYN,29
Patients,202106,CROSS CREEK PEDIATRICS,23
Patients,202106,CUMBERLAND COUNTY HEALTH DEPARTMENT,48
Patients,202106,"ERNESTO J.F. GRAHAM, MD",13
Patients,202106,FAYETTEVILLE CHILDREN'S CLINIC,11
Patients,202106,HEALTH PAVILION NORTH,20
Patients,202106,HOKE PRIMARY CARE,27
Patients,202106,HOPE MILLS FAMILY CARE,32
Patients,202106,HOPE MILLS URGENT CARE AND MEDICAL CLINIC,17
Patients,202106,JONES CENTER FOR WOMEN'S HEALTH,21
Patients,202106,KIDZCARE PEDIATRICS AT ALL AMERICAN,42
Patients,202106,KIDZCARE PEDIATRICS AT CAPE FEAR,52
Patients,202106,KIDZCARE PEDIATRICS AT HOPE MILLS,89
Patients,202106,KIDZCARE PEDIATRICS AT NORTHSIDE,89
Patients,202106,KIDZCARE PEDIATRICS AT SPRING LAKE,51
Patients,202106,KIDZCARE PEDIATRICS AT YADKIN,48
Patients,202106,LEGACY PEDIATRICS,21
Patients,202106,RAINBOW PEDIATRICS OF FAYETTEVILLE,123
Patients,202106,RAINBOW PEDIATRICS OF HOPE MILLS,44
Patients,202106,RAPHA PRIMARY CARE OF FAYETTEVILLE,64
Patients,202106,SOUTHEASTERN MEDICAL CLINIC-GRAY'S CREEK,22
Patients,202106,SOUTHERN REGIONAL AHEC,90
Patients,202106,STEDMAN MEDICAL CARE,25
Patients,202106,SUNSHINE PEDIATRICS,21
Patients,202106,WADE FAMILY MEDICAL CENTER - DOWNTOWN,18
Patients,202106,WESTSIDE MEDICAL CARE,29
Any.MH,202101,BIRTH AND WOMEN'S CARE,2
Any.MH,202101,CALVARY PEDIATRICS,6
Any.MH,202101,CAPE FEAR VALLEY PEDIATRICS,10
Any.MH,202101,CAPE FEAR VALLEY PRIMARY CARE - FAYETTEVILLE FAMILY,5
Any.MH,202101,CAROLINA PEDIATRIC GROUP,0
Any.MH,202101,CAROLINA URGENT AND FAMILY CARE,6
Any.MH,202101,CFVMC DIVISION OF DUKE OB/GYN,3
Any.MH,202101,CROSS CREEK PEDIATRICS,6
Any.MH,202101,CUMBERLAND COUNTY HEALTH DEPARTMENT,7
Any.MH,202101,"ERNESTO J.F. GRAHAM, MD",2
Any.MH,202101,FAYETTEVILLE CHILDREN'S CLINIC,0
Any.MH,202101,HEALTH PAVILION NORTH,1
Any.MH,202101,HOKE PRIMARY CARE,6
Any.MH,202101,HOPE MILLS FAMILY CARE,5
Any.MH,202101,HOPE MILLS URGENT CARE AND MEDICAL CLINIC,1
Any.MH,202101,JONES CENTER FOR WOMEN'S HEALTH,1
Any.MH,202101,KIDZCARE PEDIATRICS AT ALL AMERICAN,5
Any.MH,202101,KIDZCARE PEDIATRICS AT CAPE FEAR,4
Any.MH,202101,KIDZCARE PEDIATRICS AT HOPE MILLS,4
Any.MH,202101,KIDZCARE PEDIATRICS AT NORTHSIDE,6
Any.MH,202101,KIDZCARE PEDIATRICS AT SPRING LAKE,6
Any.MH,202101,KIDZCARE PEDIATRICS AT YADKIN,4
Any.MH,202101,LEGACY PEDIATRICS,3
Any.MH,202101,RAINBOW PEDIATRICS OF FAYETTEVILLE,15
Any.MH,202101,RAINBOW PEDIATRICS OF HOPE MILLS,6
Any.MH,202101,RAPHA PRIMARY CARE OF FAYETTEVILLE,11
Any.MH,202101,SOUTHEASTERN MEDICAL CLINIC-GRAY'S CREEK,2
Any.MH,202101,SOUTHERN REGIONAL AHEC,17
Any.MH,202101,STEDMAN MEDICAL CARE,6
Any.MH,202101,SUNSHINE PEDIATRICS,3
Any.MH,202101,WADE FAMILY MEDICAL CENTER - DOWNTOWN,3
Any.MH,202101,WESTSIDE MEDICAL CARE,3
Any.MH,202102,BIRTH AND WOMEN'S CARE,1
Any.MH,202102,CALVARY PEDIATRICS,5
Any.MH,202102,CAPE FEAR VALLEY PEDIATRICS,10
Any.MH,202102,CAPE FEAR VALLEY PRIMARY CARE - FAYETTEVILLE FAMILY,6
Any.MH,202102,CAROLINA PEDIATRIC GROUP,0
Any.MH,202102,CAROLINA URGENT AND FAMILY CARE,7
Any.MH,202102,CFVMC DIVISION OF DUKE OB/GYN,3
Any.MH,202102,CROSS CREEK PEDIATRICS,6
Any.MH,202102,CUMBERLAND COUNTY HEALTH DEPARTMENT,7
Any.MH,202102,"ERNESTO J.F. GRAHAM, MD",1
Any.MH,202102,FAYETTEVILLE CHILDREN'S CLINIC,0
Any.MH,202102,HEALTH PAVILION NORTH,0
Any.MH,202102,HOKE PRIMARY CARE,5
Any.MH,202102,HOPE MILLS FAMILY CARE,5
Any.MH,202102,HOPE MILLS URGENT CARE AND MEDICAL CLINIC,2
Any.MH,202102,JONES CENTER FOR WOMEN'S HEALTH,1
Any.MH,202102,KIDZCARE PEDIATRICS AT ALL AMERICAN,4
Any.MH,202102,KIDZCARE PEDIATRICS AT CAPE FEAR,3
Any.MH,202102,KIDZCARE PEDIATRICS AT HOPE MILLS,5
Any.MH,202102,KIDZCARE PEDIATRICS AT NORTHSIDE,6
Any.MH,202102,KIDZCARE PEDIATRICS AT SPRING LAKE,6
Any.MH,202102,KIDZCARE PEDIATRICS AT YADKIN,3
Any.MH,202102,LEGACY PEDIATRICS,3
Any.MH,202102,RAINBOW PEDIATRICS OF FAYETTEVILLE,13
Any.MH,202102,RAINBOW PEDIATRICS OF HOPE MILLS,7
Any.MH,202102,RAPHA PRIMARY CARE OF FAYETTEVILLE,8
Any.MH,202102,SOUTHEASTERN MEDICAL CLINIC-GRAY'S CREEK,1
Any.MH,202102,SOUTHERN REGIONAL AHEC,16
Any.MH,202102,STEDMAN MEDICAL CARE,5
Any.MH,202102,SUNSHINE PEDIATRICS,2
Any.MH,202102,WADE FAMILY MEDICAL CENTER - DOWNTOWN,3
Any.MH,202102,WESTSIDE MEDICAL CARE,2
Any.MH,202103,BIRTH AND WOMEN'S CARE,2
Any.MH,202103,CALVARY PEDIATRICS,5
Any.MH,202103,CAPE FEAR VALLEY PEDIATRICS,9
Any.MH,202103,CAPE FEAR VALLEY PRIMARY CARE - FAYETTEVILLE FAMILY,7
Any.MH,202103,CAROLINA PEDIATRIC GROUP,0
Any.MH,202103,CAROLINA URGENT AND FAMILY CARE,7
Any.MH,202103,CFVMC DIVISION OF DUKE OB/GYN,3
Any.MH,202103,CROSS CREEK PEDIATRICS,5
Any.MH,202103,CUMBERLAND COUNTY HEALTH DEPARTMENT,8
Any.MH,202103,"ERNESTO J.F. GRAHAM, MD",1
Any.MH,202103,FAYETTEVILLE CHILDREN'S CLINIC,0
Any.MH,202103,HEALTH PAVILION NORTH,1
Any.MH,202103,HOKE PRIMARY CARE,6
Any.MH,202103,HOPE MILLS FAMILY CARE,5
Any.MH,202103,HOPE MILLS URGENT CARE AND MEDICAL CLINIC,2
Any.MH,202103,JONES CENTER FOR WOMEN'S HEALTH,2
Any.MH,202103,KIDZCARE PEDIATRICS AT ALL AMERICAN,4
Any.MH,202103,KIDZCARE PEDIATRICS AT CAPE FEAR,3
Any.MH,202103,KIDZCARE PEDIATRICS AT HOPE MILLS,5
Any.MH,202103,KIDZCARE PEDIATRICS AT NORTHSIDE,6
Any.MH,202103,KIDZCARE PEDIATRICS AT SPRING LAKE,7
Any.MH,202103,KIDZCARE PEDIATRICS AT YADKIN,3
Any.MH,202103,LEGACY PEDIATRICS,3
Any.MH,202103,RAINBOW PEDIATRICS OF FAYETTEVILLE,11
Any.MH,202103,RAINBOW PEDIATRICS OF HOPE MILLS,7
Any.MH,202103,RAPHA PRIMARY CARE OF FAYETTEVILLE,12
Any.MH,202103,SOUTHEASTERN MEDICAL CLINIC-GRAY'S CREEK,1
Any.MH,202103,SOUTHERN REGIONAL AHEC,15
Any.MH,202103,STEDMAN MEDICAL CARE,4
Any.MH,202103,SUNSHINE PEDIATRICS,2
Any.MH,202103,WADE FAMILY MEDICAL CENTER - DOWNTOWN,3
Any.MH,202103,WESTSIDE MEDICAL CARE,2
Any.MH,202104,BIRTH AND WOMEN'S CARE,4
Any.MH,202104,CALVARY PEDIATRICS,6
Any.MH,202104,CAPE FEAR VALLEY PEDIATRICS,7
Any.MH,202104,CAPE FEAR VALLEY PRIMARY CARE - FAYETTEVILLE FAMILY,5
Any.MH,202104,CAROLINA PEDIATRIC GROUP,0
Any.MH,202104,CAROLINA URGENT AND FAMILY CARE,6
Any.MH,202104,CFVMC DIVISION OF DUKE OB/GYN,3
Any.MH,202104,CROSS CREEK PEDIATRICS,4
Any.MH,202104,CUMBERLAND COUNTY HEALTH DEPARTMENT,8
Any.MH,202104,"ERNESTO J.F. GRAHAM, MD",0
Any.MH,202104,FAYETTEVILLE CHILDREN'S CLINIC,0
Any.MH,202104,HEALTH PAVILION NORTH,1
Any.MH,202104,HOKE PRIMARY CARE,8
Any.MH,202104,HOPE MILLS FAMILY CARE,5
Any.MH,202104,HOPE MILLS URGENT CARE AND MEDICAL CLINIC,3
Any.MH,202104,JONES CENTER FOR WOMEN'S HEALTH,2
Any.MH,202104,KIDZCARE PEDIATRICS AT ALL AMERICAN,5
Any.MH,202104,KIDZCARE PEDIATRICS AT CAPE FEAR,3
Any.MH,202104,KIDZCARE PEDIATRICS AT HOPE MILLS,5
Any.MH,202104,KIDZCARE PEDIATRICS AT NORTHSIDE,7
Any.MH,202104,KIDZCARE PEDIATRICS AT SPRING LAKE,6
Any.MH,202104,KIDZCARE PEDIATRICS AT YADKIN,4
Any.MH,202104,LEGACY PEDIATRICS,3
Any.MH,202104,RAINBOW PEDIATRICS OF FAYETTEVILLE,12
Any.MH,202104,RAINBOW PEDIATRICS OF HOPE MILLS,8
Any.MH,202104,RAPHA PRIMARY CARE OF FAYETTEVILLE,14
Any.MH,202104,SOUTHEASTERN MEDICAL CLINIC-GRAY'S CREEK,1
Any.MH,202104,SOUTHERN REGIONAL AHEC,13
Any.MH,202104,STEDMAN MEDICAL CARE,6
Any.MH,202104,SUNSHINE PEDIATRICS,4
Any.MH,202104,WADE FAMILY MEDICAL CENTER - DOWNTOWN,3
Any.MH,202104,WESTSIDE MEDICAL CARE,3
Any.MH,202105,BIRTH AND WOMEN'S CARE,5
Any.MH,202105,CALVARY PEDIATRICS,6
Any.MH,202105,CAPE FEAR VALLEY PEDIATRICS,8
Any.MH,202105,CAPE FEAR VALLEY PRIMARY CARE - FAYETTEVILLE FAMILY,6
Any.MH,202105,CAROLINA PEDIATRIC GROUP,0
Any.MH,202105,CAROLINA URGENT AND FAMILY CARE,6
Any.MH,202105,CFVMC DIVISION OF DUKE OB/GYN,2
Any.MH,202105,CROSS CREEK PEDIATRICS,5
Any.MH,202105,CUMBERLAND COUNTY HEALTH DEPARTMENT,8
Any.MH,202105,"ERNESTO J.F. GRAHAM, MD",0
Any.MH,202105,FAYETTEVILLE CHILDREN'S CLINIC,0
Any.MH,202105,HEALTH PAVILION NORTH,1
Any.MH,202105,HOKE PRIMARY CARE,8
Any.MH,202105,HOPE MILLS FAMILY CARE,5
Any.MH,202105,HOPE MILLS URGENT CARE AND MEDICAL CLINIC,4
Any.MH,202105,JONES CENTER FOR WOMEN'S HEALTH,2
Any.MH,202105,KIDZCARE PEDIATRICS AT ALL AMERICAN,7
Any.MH,202105,KIDZCARE PEDIATRICS AT CAPE FEAR,3
Any.MH,202105,KIDZCARE PEDIATRICS AT HOPE MILLS,5
Any.MH,202105,KIDZCARE PEDIATRICS AT NORTHSIDE,7
Any.MH,202105,KIDZCARE PEDIATRICS AT SPRING LAKE,5
Any.MH,202105,KIDZCARE PEDIATRICS AT YADKIN,4
Any.MH,202105,LEGACY PEDIATRICS,3
Any.MH,202105,RAINBOW PEDIATRICS OF FAYETTEVILLE,10
Any.MH,202105,RAINBOW PEDIATRICS OF HOPE MILLS,8
Any.MH,202105,RAPHA PRIMARY CARE OF FAYETTEVILLE,13
Any.MH,202105,SOUTHEASTERN MEDICAL CLINIC-GRAY'S CREEK,1
Any.MH,202105,SOUTHERN REGIONAL AHEC,13
Any.MH,202105,STEDMAN MEDICAL CARE,6
Any.MH,202105,SUNSHINE PEDIATRICS,3
Any.MH,202105,WADE FAMILY MEDICAL CENTER - DOWNTOWN,3
Any.MH,202105,WESTSIDE MEDICAL CARE,3
Any.MH,202106,BIRTH AND WOMEN'S CARE,5
Any.MH,202106,CALVARY PEDIATRICS,6
Any.MH,202106,CAPE FEAR VALLEY PEDIATRICS,8
Any.MH,202106,CAPE FEAR VALLEY PRIMARY CARE - FAYETTEVILLE FAMILY,6
Any.MH,202106,CAROLINA PEDIATRIC GROUP,0
Any.MH,202106,CAROLINA URGENT AND FAMILY CARE,6
Any.MH,202106,CFVMC DIVISION OF DUKE OB/GYN,2
Any.MH,202106,CROSS CREEK PEDIATRICS,5
Any.MH,202106,CUMBERLAND COUNTY HEALTH DEPARTMENT,8
Any.MH,202106,"ERNESTO J.F. GRAHAM, MD",0
Any.MH,202106,FAYETTEVILLE CHILDREN'S CLINIC,0
Any.MH,202106,HEALTH PAVILION NORTH,1
Any.MH,202106,HOKE PRIMARY CARE,8
Any.MH,202106,HOPE MILLS FAMILY CARE,5
Any.MH,202106,HOPE MILLS URGENT CARE AND MEDICAL CLINIC,3
Any.MH,202106,JONES CENTER FOR WOMEN'S HEALTH,2
Any.MH,202106,KIDZCARE PEDIATRICS AT ALL AMERICAN,7
Any.MH,202106,KIDZCARE PEDIATRICS AT CAPE FEAR,3
Any.MH,202106,KIDZCARE PEDIATRICS AT HOPE MILLS,6
Any.MH,202106,KIDZCARE PEDIATRICS AT NORTHSIDE,7
Any.MH,202106,KIDZCARE PEDIATRICS AT SPRING LAKE,3
Any.MH,202106,KIDZCARE PEDIATRICS AT YADKIN,4
Any.MH,202106,LEGACY PEDIATRICS,3
Any.MH,202106,RAINBOW PEDIATRICS OF FAYETTEVILLE,9
Any.MH,202106,RAINBOW PEDIATRICS OF HOPE MILLS,9
Any.MH,202106,RAPHA PRIMARY CARE OF FAYETTEVILLE,11
Any.MH,202106,SOUTHEASTERN MEDICAL CLINIC-GRAY'S CREEK,2
Any.MH,202106,SOUTHERN REGIONAL AHEC,12
Any.MH,202106,STEDMAN MEDICAL CARE,5
Any.MH,202106,SUNSHINE PEDIATRICS,3
Any.MH,202106,WADE FAMILY MEDICAL CENTER - DOWNTOWN,3
Any.MH,202106,WESTSIDE MEDICAL CARE,3
ADHD,202101,BIRTH AND WOMEN'S CARE,0
ADHD,202101,CALVARY PEDIATRICS,5
ADHD,202101,CAPE FEAR VALLEY PEDIATRICS,6
ADHD,202101,CAPE FEAR VALLEY PRIMARY CARE - FAYETTEVILLE FAMILY,0
ADHD,202101,CAROLINA PEDIATRIC GROUP,0
ADHD,202101,CAROLINA URGENT AND FAMILY CARE,3
ADHD,202101,CFVMC DIVISION OF DUKE OB/GYN,0
ADHD,202101,CROSS CREEK PEDIATRICS,2
ADHD,202101,CUMBERLAND COUNTY HEALTH DEPARTMENT,1
ADHD,202101,"ERNESTO J.F. GRAHAM, MD",0
ADHD,202101,FAYETTEVILLE CHILDREN'S CLINIC,0
ADHD,202101,HEALTH PAVILION NORTH,0
ADHD,202101,HOKE PRIMARY CARE,1
ADHD,202101,HOPE MILLS FAMILY CARE,1
ADHD,202101,HOPE MILLS URGENT CARE AND MEDICAL CLINIC,1
ADHD,202101,JONES CENTER FOR WOMEN'S HEALTH,0
ADHD,202101,KIDZCARE PEDIATRICS AT ALL AMERICAN,4
ADHD,202101,KIDZCARE PEDIATRICS AT CAPE FEAR,2
ADHD,202101,KIDZCARE PEDIATRICS AT HOPE MILLS,2
ADHD,202101,KIDZCARE PEDIATRICS AT NORTHSIDE,3
ADHD,202101,KIDZCARE PEDIATRICS AT SPRING LAKE,3
ADHD,202101,KIDZCARE PEDIATRICS AT YADKIN,2
ADHD,202101,LEGACY PEDIATRICS,2
ADHD,202101,RAINBOW PEDIATRICS OF FAYETTEVILLE,8
ADHD,202101,RAINBOW PEDIATRICS OF HOPE MILLS,4
ADHD,202101,RAPHA PRIMARY CARE OF FAYETTEVILLE,0
ADHD,202101,SOUTHEASTERN MEDICAL CLINIC-GRAY'S CREEK,1
ADHD,202101,SOUTHERN REGIONAL AHEC,4
ADHD,202101,STEDMAN MEDICAL CARE,2
ADHD,202101,SUNSHINE PEDIATRICS,2
ADHD,202101,WADE FAMILY MEDICAL CENTER - DOWNTOWN,0
ADHD,202101,WESTSIDE MEDICAL CARE,0
ADHD,202102,BIRTH AND WOMEN'S CARE,0
ADHD,202102,CALVARY PEDIATRICS,4
ADHD,202102,CAPE FEAR VALLEY PEDIATRICS,6
ADHD,202102,CAPE FEAR VALLEY PRIMARY CARE - FAYETTEVILLE FAMILY,0
ADHD,202102,CAROLINA PEDIATRIC GROUP,0
ADHD,202102,CAROLINA URGENT AND FAMILY CARE,3
ADHD,202102,CFVMC DIVISION OF DUKE OB/GYN,0
ADHD,202102,CROSS CREEK PEDIATRICS,2
ADHD,202102,CUMBERLAND COUNTY HEALTH DEPARTMENT,0
ADHD,202102,"ERNESTO J.F. GRAHAM, MD",0
ADHD,202102,FAYETTEVILLE CHILDREN'S CLINIC,0
ADHD,202102,HEALTH PAVILION NORTH,0
ADHD,202102,HOKE PRIMARY CARE,1
ADHD,202102,HOPE MILLS FAMILY CARE,1
